date,year,month,weekday,type,event,description,media
1981-08-26,1981,8,4,Other,NK Fires at US Reconnaissance Plane,"A North Korean SA-2 missile is fired in the direction of a high-altitude U.S. reconnaissance plane (SR-71), missing by several miles.","http://www.nytimes.com/1981/08/29/world/north-korea-disputes-us-over-missile-firing-incident.html; The US Military Experience in Korea 1871-1982, page 230."
1980-12-02,1980,12,3,Other,Infiltration and Sinking of North Korean Vessel,"South Korea's coast guard shoots and kills two of three North Korean infiltrators on Namhae Island off the southern coast. Fifty miles away from the site of the gunbattle, South Korean surveillance forces spots and sinks the vessel believed to have been used by the North Korean infiltrators.","https://goo.gl/0TewMw; The US Military Experience in Korea 1871-1982, page 222."
1980-11-04,1980,11,3,Other,Exchange of Fire,Three NK commandos are killed by ROK soldiers on Hwang Kan island. One ROK citizen died and five other wounded after an exchange of fire.,"https://goo.gl/p4Bd48; The US Military Experience in Korea 1871-1982, page 221."
1980-06-21,1980,6,7,Other,Infiltration and Sinking of North Korean Vessel,South Korea's navy and air force sink a North Korean spy boat near Seosan on the western coast. Nine North Korean crewmen were killed and one captured after the gunfight.,"https://goo.gl/XzgYvH; The US Military Experience in Korea 1871-1982, page 219."
1980-03-23,1980,3,1,Other,Infiltration and Incursion,"Three heavily armed North Korean ""frogmen"" (commando divers) are shot and killed by South Korean army troops in the Han River Estuary near the DMZ.","https://fas.org/sgp/crs/row/RL30004.pdf; The US Military Experience in Korea 1871-1982, page 215."
1979-07-21,1979,7,7,Other,Infiltration and Sinking of North Korean Vessel,South Korean navy patrol ships sink a North Korean espionage vessel after a two-hour gun battle off the southern coast near Namhae Island. The spy boat was disguised as a South Korean fishing vessel. Six North Korean bodies were recovered while two South Korean soldiers were killed and one wounded.,"https://goo.gl/cLQmnw; The US Military Experience in Korea 1871-1982, page 209."
1978-11-04,1978,11,7,Other,Killing of South Korean Civilians,"Four South Korean civilians were shot and killed by a group of three North Korean armed infiltrators - two civilians were killed in Hongsong County (South Chungcheong Province), one in Gongju County (South Chungcheong Province), and one in Osan (Gyeonggi Province).","http://factkorea.com/main/bbs/board.php?bo_table=fact_001&wr_id=122; The US Military Experience in Korea 1871-1982, page 207."
1978-05-19,1978,5,6,Other,Infiltration and Sinking of North Korean Vessel,"Eight armed North Korean crew members are captured after their v essel was sunk by South Korea's navy in waters near Geojin, Gangwon Province on the eastern coast. After being sighted by naval forces, a three and a half hour gun battle ensued which resulted in the sinking of the infiltration vessel.","https://goo.gl/6KH9tm; The US Military Experience in Korea 1871-1982, page 204."
1978-04-28,1978,4,6,Other,Infiltration and Sinking of North Korean Vessel,South Korea's navy sinks a North Korean boat carrying agents after a 33-minute firefight in waters off of Yeosu on the southern coast. Two bodies of North Korean agents were discovered while one South Korean seaman was killed in the armed exchange.,"https://goo.gl/UUaaLx; The US Military Experience in Korea 1871-1982, page 204."
1976-08-18,1976,8,4,Other,Panmunjom Axe Murder Incident,"In a neutral area in the Joint Security Area in the DMZ, a team of U.S. and ROK soldiers trimming the branches of a poplar tree that blocked the line of sight between an observation post and a UNC checkpoint was attacked by a group of North Korean soldiers. 2 U.S. army officers were killed and 9 other South Korean and U.S. soldiers were wounded. Led to the Operation Paul Bunyan on August 21 that cut down the tree with a show of force backed by a unit of heavily armed infantry, 27 helicopters and a wing of B-52 bombers.","http://nkinfo.unikorea.go.kr/nkp/overview/nkOverview.do?sumryMenuId=MR114; The US Military Experience in Korea 1871-1982, page 195."
1976-06-21,1976,6,2,Other,Infiltration and Incursion,Three North Korean soldiers who crossed into South Korea are killed in separate armed encounters with ROK forces. South Korea witnessed three casualties and three soldiers injured.,"https://fas.org/sgp/crs/row/RL30004.pdf; The US Military Experience in Korea 1871-1982, page 194."
1975-10-06,1975,10,2,Other,Infiltration and Sinking of North Korean Vessel,South Korean air force and navy forces sink a North Korean espionage boat off of Daehuksan Island on the southwestern coast. There were no survivors from the sunken North Korean craft - number of casualties unknown.,"https://goo.gl/5Mpei7; The US Military Experience in Korea 1871-1982, page 189."
1975-09-11,1975,9,5,Other,Infiltration and Incursion,One North Korean infiltrator is killed by South Korean security forces and several escape after an exchange of gunfire in Gochang County in the western coast. Four South Korean soldiers are wounded as a result of the firefight.,"https://fas.org/sgp/crs/row/RL30004.pdf; The US Military Experience in Korea 1871-1982, page 189."
1975-06-30,1975,6,2,Other,Major Henderson Incident,"In Panmunjom, Major William D. Henderson is targeted by ten North Korean soldiers in an unprovoked attack. He suffers from a fractured larynx and was medically evacuated back to the U.S.","http://archives.chicagotribune.com/1975/07/03/page/7/article/n-korean-newsman-hit-for-u-s-officers-beating; The US Military Experience in Korea 1871-1982, page 187."
1975-02-26,1975,2,4,Other,Collision and Sinking of North Korean Vessel,"South Korean navy ships track and intercept two armed North Korean crafts south of the MDL in the Yellow Sea. As the North Korean crafts sped north to escape, a South Korean craft accidentally collides with one North Korean vessel, sinking it with an undetermined loss of life.","https://goo.gl/KyvGc7; The US Military Experience in Korea 1871-1982, page 185."
1974-11-20,1974,11,4,Other,Infiltration and Discovery of NK Tunnel System,"During a joint U.S.-ROK investigation of a North Korean-dug infiltration tunnel, a North Korean explosive device sets off killing one American (USN Commander Robert M. Ballinger) and one South Korean (ROKMC Major Kim Hak-chul) high-ranking military officers, while injuring six servicemen.","https://goo.gl/1SiDKu; The US Military Experience in Korea 1871-1982, page 178."
1974-08-15,1974,8,5,Other,Attempted Assasination of President Park Chung-hee,"Another attempt at the life of President Park Chung-hee. While delivering a speech on Nationali Liberation Day, an armed North Korean agent named Mun Se-kwang fired several shots towards the President, killing his wife, Yuk Young-soo instead. Mun was eventually tried and convicted, and eventually executed.","https://goo.gl/6118cD; The US Military Experience in Korea 1871-1982, page 175-76."
1974-06-28,1974,6,6,Other,Sinking of South Korean Coast Guard Vessel,"A South Korean coast guard vessel was on duty to protect a fishing boat in the East Sea near Sokcho. Three North Korean naval vessels encircled and attempted to abduct the ship. Outnumbered, the coast guard vessel was eventually sunk with all 28 crew personnel killed or missing.","http://www.archives.go.kr/next/search/listSubjectDescription.do?id=004432&pageFlag=; The US Military Experience in Korea 1871-1982, page 175."
1974-05-21,1974,5,3,Other,Infiltration and Incursion,"One North Korean infiltrator was killed and two others remain at large after a firefight between North and South forces on Chuja Island, off Jeju Island. Three South Korean security personnel and a local office were killed in the clash.","http://c.hani.co.kr/hantoma/1974537; The US Military Experience in Korea 1871-1982, page 174."
1974-02-15,1974,2,6,Other,Sinking of SK Fishing Boats and 30 Fishermen Detained,A North Korean naval vessel attacked two South Korean fishing boats in international waters in the West Sea near Baekryeong Island. One fishing boat was struck and sank with all 12 personnel being reported as missing. The other fishing boat was also sunk and all aboard were abducted to North Korea. The captain of the abducted boat was forced to provide a false confession that it was operating as a South Korean spy boat.,"https://fas.org/sgp/crs/row/RL30004.pdf; The US Military Experience in Korea 1871-1982, page 173."
1973-03-07,1973,3,4,Other,Exchange of Fire at DMZ,Two South Korean soldiers are killed and one wounded by North Korean gunfire while on a work detail.,"http://www.yonhapnews.co.kr/bulletin/2013/03/07/0200000000AKR20130307192200062.HTML; The US Military Experience in Korea 1871-1982, page 165."
1971-08-16,1971,8,2,Other,Infiltration and Incursion - Exchange of Fire at DMZ,"Five North Korean soldiers are killed by South Korean troops guarding the eastern sector of the DMZ in a series of firefights. Two South Korean soldiers are killed and two others wounded, as a result.","https://goo.gl/zaSe8c; The US Military Experience in Korea 1871-1982, page 155."
1971-06-01,1971,6,3,Other,Infiltration and Incursion,A combined South Korean air force and navy operation sinks a 70-ton North Korean infiltration speedboat off the western coast south of the MDL. It is believed that the speedboat was carrying around 17 North Korean agents.,"http://bemil.chosun.com/nbrd/bbs/view.html?b_bbs_id=10044&num=115278; The US Military Experience in Korea 1871-1982, page 153."
1971-05-14,1971,5,6,Other,Infiltration and Sinking of North Korean Vessel,"South Korean air force and navy forces sink a 50-ton North Korean infiltration boat on the eastern coast, equipped with radar and heavy weaponry. There were an estimated 15 North Korean agents aboard.","https://goo.gl/UJ21ka; The US Military Experience in Korea 1871-1982, page 152."
1971-01-23,1971,1,7,Other,Attempted Hijacking of KAL aircraft,"An attempted hijacking of a Korean Air passenger plane by a North Korean agent. The hijacker (Kim Sang-tae) was shot twice by security forces before exploding a bomb while the plane was landing. In the end, the hijacker and co-pilot were killed and 22 other individuals were wounded.","https://goo.gl/K6N3tB; The US Military Experience in Korea 1871-1982, page 146."
1970-10-10,1970,10,7,Other,Infiltration and Sinking of North Korean Vessel,"A North Korean agent boat, believed to be carrying ten North Korean agents, is sunk off the eastern coast by a South Korean navy patrol craft.","https://goo.gl/ClNyro; The US Military Experience in Korea 1871-1982, page 142."
1970-07-28,1970,7,3,Other,Infiltration and Sinking of North Korean Vessel,"South Korean air force fighter jets sink a 60-ton North Korean infiltration boat off the eastern coast, 95 miles northeast of Seoul. The high-speed agent boat was sunk with everyone aboard.","https://goo.gl/EQbLxY; The US Military Experience in Korea 1871-1982, page 141."
1970-06-29,1970,6,2,Other,Infiltration and Capture of North Korean Vessel,"South Korea's air force and navy forces disable and capture a six-ton North Korean infiltration boat near Yeongheung Island (close to Incheon), which was equipped with radar and rocket launchers. During the sea battle, six North Korean agents are killed while trying to swim ashore, while two South Korean policemen and one militiaman were killed.","https://goo.gl/FYffXE; The US Military Experience in Korea 1871-1982, page 140."
1970-06-05,1970,6,6,Other,Seizure of South Korean Broadcasting Vessel,North Korean high-speed vessels fire at and seize a South Korean navy patrol boat in the West Sea with 20 crewmen aboard. The patrol boat was assigned to protect a fishing fleet from South Korea near Yeonpyeong Island. This was the first South Korean navy ship to be seized by the North Koreans since the Korean War.,"https://goo.gl/yswejK; The US Military Experience in Korea 1871-1982, page 139."
1970-04-08,1970,4,4,Other,Infiltration and Incursion,Three North Korean infiltrators are detected and killed in a firefight with South Korean army reservists and police offcials. They were detected 18 miles north of Seoul.,"https://fas.org/sgp/crs/row/RL30004.pdf; The US Military Experience in Korea 1871-1982, page 138."
1970-04-04,1970,4,7,Other,Infiltration and Sinking of North Korean Vessel,"On the Yellow Sea, South Korean navy destroyer (ROKS Geoje) intercepts and sinks a 50-ton North Korean espionage boat with everyone on board - a total of 15 individuals.","https://goo.gl/xrL34l; The US Military Experience in Korea 1871-1982, page 138."
1970-03-31,1970,3,3,Other,Hijacking of JAL aircraft (Boeing 727),"A JAL passenger plane (Boeing 727) en route from Tokyo to Fukuoka is hijacked by a group of youths with swords demanding to be taken to Pyongyang. After the 122 hour-long ordeal, the plane returns to Tokyo with all passengers, crew freed.","https://goo.gl/8kpF8o; The US Military Experience in Korea 1871-1982, page 138."
1969-12-11,1969,12,5,Other,Hijacking of South Korean Plane,"A Korean Airlines (KAL) YS-11 was hijacked by a North Korean agent en route from Gangwon province to Seoul. North Korea released 39 of the kidnapped passengers on February 14, 1970 but the plane's 4 crew and 7 passengers were not returned.","http://www.rokdrop.net/2015/08/dmz-flashpoints-the-1969-hijacking-of-korean-airlines-ys-11/ The US Military Experience in Korea 1871-1982, page 135."
1969-10-13,1969,10,2,Other,Sinking of NK Spy Naval Vessel,South Korean navy destroyer (ROKS Chungmu) sinks a 75-ton North Korean gunboat after a sea battle off the southwestern coast. The sunken gunboat was reported to have been carrying 20 North Korean agents.,"https://goo.gl/iXM6H4 The US Military Experience in Korea 1871-1982, page 133."
1969-06-12,1969,6,5,Other,Capture of NK Spy Naval Vessel,"On the night of June 12th, a combined army, navy and air force South Korean unit captures a 75-ton North Korean infiltration boat near Daehuksan Island off the southwestern coast near the city of Mokpo. The bodies of seven North Korean armed agents are recovered after the gunbattle.","https://goo.gl/5LjdZl; The US Military Experience in Korea 1871-1982, page 131."
1969-06-08,1969,6,1,Other,Infiltration and Sinking of North Korean Vessel,South Korea's coast guard sinks an armed North Korean boat attempting to land North Korean agents. A shell fired from the North Korean boat kills five civilians on shore.,"https://goo.gl/fZ1ldg The US Military Experience in Korea 1871-1982, page 131."
1969-04-15,1969,4,3,Other,Attack on U.S. Reconnaissance Plane,"Claiming a violation of its territorial airspace, North Korea attacked an unarmed U.S. Navy EC-121 reconnaissance plane over the East Sea. All 31 Americans on board the plane were killed.","https://goo.gl/Kyga6B The US Military Experience in Korea 1871-1982, page 130."
1969-03-18,1969,3,3,Other,Assault by NK Armed Agents,"South Korean police kill eight North Korean infiltrators who have landed in Jumunjin, 30 miles south of the DMZ. The infiltrators raided a police guardpost and killed one police officer before trying to escape on a rubber raft.","https://goo.gl/Riw0Ny The US Military Experience in Korea 1871-1982, page 129-130."
1969-03-15,1969,3,7,Other,Infiltration and Incursion - Exchange of Fire at DMZ,"One U.S. soldier is killed while two Americans and one South Korean out of a 10-man work unit replacing markers on the MDL are injured when a North Korean guardpost opens fire on the unit. Seven more deaths follow when a U.S. army helicopter accidentally crashes while attempting to evacuate the wounded men, which resulted in five crewmen and three evacuees being killed.","https://goo.gl/qOZ5Pd The US Military Experience in Korea 1871-1982, page 129."
1968-11-12,1968,11,3,Other,Infiltration and Incursion - Exchange of Fire at Uljin,South Korean soldiers and policemen track down and kill 13 armed North Korean agents during search operations in the vicinity of the city of Uljin.,"https://goo.gl/Ors2qi The US Military Experience in Korea 1871-1982, page 125."
1968-11-03,1968,11,1,Other,Infiltration and Incursion - Exchange of Fire at Uljin & Samcheok,"From October 30th to November 3rd, a total of 120 North Korean armed agents infiltrate South Korean territory centered around two locations - Uljin in North Gyeongsang Province and Samcheok in Gangwon Province - along the eastern coast. By the end of the five-day long event, a total of 107 North Korean agents were killed, seven captured, and six escaped. A total of 82 South Koreans were killed, among them were 30 civilians.","http://news.chosun.com/site/data/html_dir/2009/11/05/2009110501787.html; The US Military Experience in Korea 1871-1982, page 125."
1968-11-02,1968,11,7,Other,Infiltration and Incursion - Exchange of Fire at Uljin & Samcheok,"From October 30th to November 3rd, a total of 120 North Korean armed agents infiltrate South Korean territory centered around two locations - Uljin in North Gyeongsang Province and Samcheok in Gangwon Province - along the eastern coast. By the end of the five-day long event, a total of 107 North Korean agents were killed, seven captured, and six escaped. A total of 82 South Koreans were killed, among them were 30 civilians.",https://fas.org/sgp/crs/row/RL30004.pdf
1968-11-01,1968,11,6,Other,Infiltration and Incursion - Exchange of Fire at Uljin & Samcheok,"From October 30th to November 3rd, a total of 120 North Korean armed agents infiltrate South Korean territory centered around two locations - Uljin in North Gyeongsang Province and Samcheok in Gangwon Province - along the eastern coast. By the end of the five-day long event, a total of 107 North Korean agents were killed, seven captured, and six escaped. A total of 82 South Koreans were killed, among them were 30 civilians.",http://news.chosun.com/site/data/html_dir/2009/11/05/2009110501787.html
1968-10-31,1968,10,5,Other,Infiltration and Incursion - Exchange of Fire at Uljin & Samcheok,"From October 30th to November 3rd, a total of 120 North Korean armed agents infiltrate South Korean territory centered around two locations - Uljin in North Gyeongsang Province and Samcheok in Gangwon Province - along the eastern coast. By the end of the five-day long event, a total of 107 North Korean agents were killed, seven captured, and six escaped. A total of 82 South Koreans were killed, among them were 30 civilians.",https://fas.org/sgp/crs/row/RL30004.pdf;
1968-10-30,1968,10,4,Other,Infiltration and Incursion - Exchange of Fire at Uljin & Samcheok,"From October 30th to November 3rd, a total of 120 North Korean armed agents infiltrate South Korean territory centered around two locations - Uljin in North Gyeongsang Province and Samcheok in Gangwon Province - along the eastern coast. By the end of the five-day long event, a total of 107 North Korean agents were killed, seven captured, and six escaped. A total of 82 South Koreans were killed, among them were 30 civilians.",https://fas.org/sgp/crs/row/RL30004.pdf;
1968-10-23,1968,10,4,Other,Infiltration and Incursion - Exchange of Fire at DMZ,One U.S. soldier (PFC David L. Turner) is killed and five wounded after a firefight with North Korean infiltrators. Witnesses reported that the North Korean troops carrying a body of one North Korean (wounded or dead) north of the MDL.,"The US Military Experience in Korea 1871-1982, page 125."
1968-09-24,1968,9,3,Other,Infiltration and Incursion - Exchange of Fire at West MDL,South Korean soldiers kill seven out of a large band of North Korean infiltrators in the western front south of the MDL. There were no casualties reported on the South Korean side.,"The US Military Experience in Korea 1871-1982, page 124."
1968-09-19,1968,9,5,Other,Infiltration and Incursion - Exchange of Fire at DMZ,"An armed clash ensues with North Korean infiltrators south of the DMZ, in which one KATUSA soldier is killed and seven wounded. This took place just before the opening of the 278th meeting of the Military Armistice Commission in Panmunjom.","The US Military Experience in Korea 1871-1982, page 124."
1968-08-29,1968,8,5,Other,Infiltration and Incursion - Exchange of Fire,"Seven North Korean infiltrators are killed by South Korean troops in the southern sector of the DMZ. The infiltrators were headed south when they were intercepted. This was the 20th firefight between North and South Korea in August, alone.","The US Military Experience in Korea 1871-1982, page 123."
1968-08-24,1968,8,7,Other,Infiltration and Incursion - Arrest of Spy Ring Jeju Island,"After North Korean's attempted ambush, South Korea's CIA announces the arrest of 73 suspected members of a spy organization called ""Unification Revolution Party,"" whose aim was to foment civil insurgence in South Korea.","The US Military Experience in Korea 1871-1982, page 123."
1968-08-21,1968,8,4,Other,Infiltration and Incursion - Exchange of Fire at Jeju Island,"An unsuccessful attempt to rescue a top communist agent imprisoned in Jeju Island by North Korean commandos. Following a tip, South Korea's CIA intercepts the commandos after which 12 North Korean soldiers are killed and two are captured. South Korea's navy sinks the high-speed 75-ton spy boat used by the infiltrators.","The US Military Experience in Korea 1871-1982, page 122."
1968-08-05,1968,8,2,Other,Infiltration and Incursion - Exchange of Fire at DMZ,A group of North Korean infiltrators kill a U.S. soldier (PFC Terrance A. Peterson) and wound four others in a UNC patrol less than one mile south of the truce site in Panmunjom. One North Korean soldier was killed in the firefight.,"The US Military Experience in Korea 1871-1982, page 122."
1968-04-21,1968,4,1,Other,Infiltration and Incursion - Exchange of Fire at DMZ,"A North Korean force numbering between 50-75 clash with a U.S. patrol unit south of the DMZ. This incident resulted in one U.S. soldier killed and three wounded, while North Koreans saw four casualties.","The US Military Experience in Korea 1871-1982, page 121."
1968-04-14,1968,4,1,Other,Infiltration and Incursion - Exchange of Fire at DMZ,Four UNC soldiers are killed and two are wounded as a result of a North Korean ambush south of the Joint Security Area (JSA). The ambush took place in daytime (11:00 am) when the infiltrators attacked a truck carrying soldiers.,"The US Military Experience in Korea 1871-1982, page 120."
1968-01-23,1968,1,3,Other,Seizure of USS Pueblo,U.S. Navy intelligence ship USS Pueblo was captured in international waters off the coast of North Korea in the East Sea.,"https://www.cia.gov/library/readingroom/docs/DOC_0000265987.pdf; The US Military Experience in Korea 1871-1982, page 118."
1968-01-21,1968,1,1,Other,Raid on Blue House (Cheong Wa Dae),North Korean agents infiltrated South Korea and attempted to assassinate Republic of Korea President Park Chung-hee. Four South Koreans accidently came across the North Korean agents' base camp in the mountains near Seoul and reported their suspicious activity. 30 out of 31 North Korean commandos were killed during their mission and the last remaining infiltrator was captured. Two ROK policeman and five civilians were also killed.,"http://www.mnd.go.kr/user/mnd/upload/pblictn/PBLICTNEBOOK_201505200527270960.pdf; The US Military Experience in Korea 1871-1982, page 118."
1967-09-13,1967,9,4,Other,Bombing of Train Station Terror Act,A North Korean-planted explosive sets off destroying two train cars and derailing six train cars at Unjeong Station on the Gyeongui Line. No casualties were reported but resulted in damages to 40 meters of the rail tracks.,https://goo.gl/wqtVJo
1967-09-05,1967,9,3,Other,Bombing of Train Station Terror Act,A North Korean-planted explosive sets off and derails a train carrying 400 passengers in Chosung Station on the Gyeongwon Line. No casualties were reported.,https://goo.gl/Ga1aKk
1967-08-29,1967,8,3,Other,Ambush on U.S. Soldiers,Three U.S. soldiers are killed and five wounded when two U.S. army vehicles are destroyed by North Korean-planted mines.,"https://goo.gl/QLGvKD; The US Military Experience in Korea 1871-1982, page 117."
1967-08-28,1967,8,2,Other,Ambush on U.S. Soldiers,Four UNC personnel are killed and 26 wounded in a North Korean attack on a U.S. army work unit south of the DMZ.,"https://goo.gl/xpRAj3; The US Military Experience in Korea 1871-1982, page 117."
1967-08-10,1967,8,5,Other,Ambush on U.S. Soldiers,Three U.S. soldiers are killed and 16 wounded in a daytime North Korean ambush south of the DMZ.,"The US Military Experience in Korea 1871-1982, page 117."
1967-07-18,1967,7,3,Other,Infiltration and Incursion,"Ten armed North Korean infiltrators were discovered by South Korean army and police combined forces in Jeongeup County near Jeonju. After the two-day gun battle, five infiltrators were killed and one South Korean was killed.","https://goo.gl/7v8TC7; The US Military Experience in Korea 1871-1982, page 117."
1967-07-14,1967,7,6,Other,Infiltration and Incursion,"Three North Korean armed infiltrators were discovered in the central zone of the DMZ by a South Korean army unit. All three infiltrators were killed, while two South Korean soldiers were also killed by enemy forces.","https://goo.gl/eEbABh; The US Military Experience in Korea 1871-1982, page 117."
1967-07-05,1967,7,4,Other,Infiltration and Incursion,A South Korean army and police combined force discover and kill four North Korean armed infiltrators in Myeongju County (near Gangneung) on the eastern coast. One South Korean policemen was injured.,https://goo.gl/mUZr4v
1967-07-03,1967,7,2,Other,Infiltration and Incursion,South Korean army troops discover 17 North Korean armed infiltrators on the south side of the DMZ. Ten infiltrators are killed by South Korean soldiers in three separate gun battles.,https://goo.gl/oDLWx7
1967-06-29,1967,6,5,Other,Infiltration and Incursion,"Four North Korean armed infiltrators were killed by South Korea combined army and police force in Sangdong County (near Gangneung) on the eastern coast, plus one South Korean civilian, in whose house the infiltrators were in hiding before being discovered.",https://goo.gl/VutQcM
1967-06-28,1967,6,4,Other,Infiltration and Incursion,"In two separate incidents, three North Korean armed infiltrators were killed by South Korean army forces after a two hour and 40 minute gun battle in Munsan (near the DMZ). On the same day in Jinan County (North Jeolla Province), three armed infiltrators were killed by a combined South Korean army and police force unit.",https://goo.gl/PVGNnE
1967-06-23,1967,6,6,Other,Infiltration and Incursion,Eight armed North Korean infiltrators are killed and one captured after a firefight with South Korean forces in a village near Samcheok (North Gyeongsang Province).,https://goo.gl/vwoq7W
1967-06-17,1967,6,7,Other,Infiltration and Incursion,One North Korean armed infiltrator is killed after a gunfight with South Korean police officers in Cheongdo (North Gyeongsang Province). Four South Korean policemen are killed along with one South Korean civilian.,https://goo.gl/KqjMlw
1967-06-10,1967,6,7,Other,Infiltration and Incursion,Five North Korean armed infiltrators are discovered south of the Military Demarcation Line and killed by South Korean forces.,"The US Military Experience in Korea 1871-1982, page 117."
1967-05-22,1967,5,2,Other,Attack on U.S. Military Barracks,Two U.S. soldiers are killed and 16 injured when several North Korean-planted satchels with filled explosives are set off inside a U.S. army barracks in the western sector of the DMZ. This was the first instance of North Korean sabotage since the Armistice.,"The US Military Experience in Korea 1871-1982, page 117."
1967-04-17,1967,4,2,Other,Infiltration and Incursion (Maritime),"South Korean air force jets sink a North Korean espionage vessel in the West Sea. Out of 15 men onboard, six are captured by a South Korean navy patrol ship.","The US Military Experience in Korea 1871-1982, page 117."
1967-04-12,1967,4,4,Other,Infiltration and Incursion (Territorial),"Between 40-60 North Korean troops cross the Military Demarcation Line (MDL) and a six-hour armed engagement ensues with South Korean troops. For the first time since the Armistice, UNC forces use artillery to engage the North Koreans.","The US Military Experience in Korea 1871-1982, page 116."
1967-01-19,1967,1,5,Other,Sinking of South Korean Patrol Boat,A South Korean PCE-56 patrol boat was sunk near the Northern Limit Line (NLL) in the East Sea by North Korean coastal guns.,"http://www.mnd.go.kr/user/mnd/upload/pblictn/PBLICTNEBOOK_201505200527270960.pdf; The US Military Experience in Korea 1871-1982, page 116."
1966-11-02,1966,11,4,Other,Exchange of Fire at DMZ,"In two separate incidents, six U.S. and three South Korean soldiers are killed by North Korean troops south of the DMZ.","https://goo.gl/BYnx16; The US Military Experience in Korea 1871-1982, page 116."
1966-05-17,1966,5,3,Other,Infiltration and Incursion,A North Korean armed agent named Jeong Sang-kyu is discovered in a village near the city of Jinju. He is chased into the mountains where he is eventually located and killed by South Korean army forces.,https://goo.gl/jbyuPG;
1965-04-28,1965,4,4,Other,NK Fighter Jets Attack U.S. Reconnaissance Plane,Two North Korean jet fighters (MiG) attacked and damaged a U.S. reconnaissance plane (RB-47) over the East Sea.,"https://cdnc.ucr.edu/cgi-bin/cdnc?a=d&d=DS19650428.2.9; The US Military Experience in Korea 1871-1982, page 114."
1964-11-14,1964,11,7,Other,NK Attacks U.S. Airforce Plane,U.S. airforce plane attacked near the DMZ.,http://www.cfr.org/content/publications/attachments/Korean_Peninsula_Clashes.pdf
1963-07-29,1963,7,2,Other,Exchange of Fire at DMZ,A group of at least seven North Korean soldiers crossed the DMZ and killed two U.S. soldiers and wounded one during an attack on a jeep with a machine gun and hand grenade. U.S. and South Korean patrols tracked and killed two of the infiltrators.,"https://goo.gl/8PXjzE; The US Military Experience in Korea 1871-1982, page 113."
1962-11-20,1962,11,3,Other,Exchange of Fire at DMZ,NK troops attacked a UN observation post 7 miles southeast of Panmunjom and an armed clash ensues.,"http://www.cfr.org/content/publications/attachments/Korean_Peninsula_Clashes.pdf; The US Military Experience in Korea 1871-1982, page 113."
1960-07-30,1960,7,7,Other,Exchange of Fire and Sinking of NK Vessel,A South Korean destroyer sinks a North Korean patrol vessel off the eastern coast killing at least 14 crewmen. This was the first naval clash between the two Koreas since the signing of the Armistice in 1953.,"https://goo.gl/NEgR7x The US Military Experience in Korea 1871-1982, page 109."
1959-06-15,1959,6,2,Other,NK Fighter Jets Attack U.S. Navy Plane,Two North Korean jet fighters (MiG) attacked and damaged a U.S. navy patrol plane (P4M Mercator) off the eastern coast of North Korea. The pilot returned safely to base in Japan's Honshu Island.,"https://goo.gl/UFh93r The US Military Experience in Korea 1871-1982, page 109."
1958-02-16,1958,2,1,Other,Hijacking of South Korean Plane,North Korean agents hijacked a South Korean plane en route from Busan to Seoul. Twenty-eight kidnapped passengers taken to Pyongyang were eventually released but eight other passengers were never returned.,"https://goo.gl/Xn9Wr4 The US Military Experience in Korea 1871-1982, page 108."
